synthetic_id,neighbourhood,address,lon,price,year_available,rooms,elevator,lat,floors,area,districte,section,district_id,section_id,census_tract_INE,census_tract_IDESCAT,barri_oficial,metres_cadastre,emissions_de_co2,qual_energia
,Sant Narcís,"Plaza europa, s/n",2.809952,1650,2026,4.0,True,41.97382,4.0,110,3.0,6,3,6,1707903006,17079203006,Eixample,86.0,0.32,A
,Barri Vell,Calle Auriga,2.825123,1495,2026,3.0,True,41.98231,1.0,90,1.0,1,1,1,1707901001,17079201001,Centre,62.0,73.03,G
,Barri Vell,Calle de les Ballesteries,2.824818,1100,2026,1.0,False,41.986073,1.0,50,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Barri Vell,Pujada de Sant Martí,2.826062,750,2026,,False,41.984288,3.0,54,1.0,1,1,1,1707901001,17079201001,Centre,62.0,73.03,G
,Barri Vell,Calle de les Ferreries Velles,2.825042,1250,2026,3.0,,41.984028,,89,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Devesa,Paseo de la Devesa,2.821286,680,2026,1.0,True,41.981407,4.0,35,2.0,1,2,1,1707902001,17079202001,Centre,158.0,39.46,F
,Barri Vell,Calle de la Força,2.825205,1300,2026,2.0,True,41.986245,3.0,96,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Barri Vell,Pujada de la Catedral,2.826046,1124,2026,1.0,False,41.986864,2.0,71,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Eixample,Calle Bisbe Lorenzana,2.820586,2304,2026,2.0,True,41.978459,1.0,87,2.0,4,2,4,1707902004,17079202004,Eixample,65.0,47.64,F
,Eixample,Travesía de la Creu,2.821747,1200,2026,2.0,,41.975942,,90,2.0,6,2,6,1707902006,17079202006,Eixample,121.0,37.44,E
,,Montilivi-Pericot,2.826648,2500,2026,4.0,,41.97363,,249,2.0,9,2,9,1707902009,17079202009,Sud,89.0,40.19,E
,,Eixample,2.818438,2300,2026,2.0,True,41.98007,2.0,90,2.0,3,2,3,1707902003,17079202003,Eixample,140.0,11.92,C
,,Eixample,2.818438,2620,2026,3.0,True,41.98007,2.0,100,2.0,3,2,3,1707902003,17079202003,Eixample,140.0,11.92,C
,Fontajau-Domeny,Calle de la Font de la Teula,2.805486,1900,2026,3.0,,41.99181,,113,6.0,4,6,4,1707906004,17079206004,Oest,734.83,1.2,A
,Eixample,Calle Juli Garreta,2.819229,1300,2026,2.0,True,41.978954,5.0,70,2.0,3,2,3,1707902003,17079202003,Eixample,140.0,11.92,C
,Devesa,Calle Figuerola,2.819772,1550,2026,3.0,True,41.985352,3.0,87,3.0,3,3,3,1707903003,17079203003,Eixample,93.0,40.69,E
,Barri Vell,Calle de Santa Clara,2.823177,1600,2026,2.0,False,41.983803,4.0,107,3.0,1,3,1,1707903001,17079203001,Centre,77.0,48.51,E
,Barri Vell,Calle Auriga,2.825123,1500,2026,2.0,False,41.98231,3.0,66,1.0,1,1,1,1707901001,17079201001,Centre,62.0,73.03,G
,Talaia - Germans Sabat,Calle Andalusia,2.808535,1500,2026,1.0,,41.994252,,50,6.0,2,6,2,1707906002,17079206002,Oest,62.0,4.71,B
,Talaia - Germans Sabat,Calle Andalusia,2.808535,1500,2026,2.0,,41.994252,,70,6.0,2,6,2,1707906002,17079206002,Oest,62.0,4.71,B
,Talaia - Germans Sabat,Calle Andalusia,2.808535,1500,2026,2.0,,41.994252,,70,6.0,2,6,2,1707906002,17079206002,Oest,62.0,4.71,B
,Barri Vell,Calle de les Ferreries Velles,2.825042,1250,2026,3.0,,41.984028,,89,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Montilivi-Pericot,Avenida de Lluís Pericot,2.823917,1200,2026,4.0,True,41.969446,2.0,127,2.0,10,2,10,1707902010,17079202010,Eixample,58.0,56.65,E
,Barri Vell,Calle dels Calderers,2.824147,1100,2026,2.0,False,41.987587,5.0,50,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Talaia - Germans Sabat,Calle Can Cases,2.819944,5000,2026,5.0,,41.979301,,199,2.0,3,2,3,1707902003,17079202003,Eixample,140.0,11.92,C
,,Montjuïc,2.831818,2800,2026,4.0,,41.995144,,304,5.0,1,5,1,1707905001,17079205001,Montjuïc,170.0,52.37,E
,,Barri Vell,2.824916,1800,2026,3.0,True,41.984325,1.0,96,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Barri Vell,Avenida de Sant Francesc,2.821367,1650,2026,2.0,True,41.982422,1.0,80,2.0,1,2,1,1707902001,17079202001,Centre,158.0,39.46,F
,Eixample,Calle Barcelona,2.812528,3000,2026,4.0,False,41.965464,1.0,200,2.0,22,2,22,1707902022,17079202022,Eixample,77.0,29.07,E
,,Eixample,2.818438,1500,2026,2.0,,41.98007,,156,2.0,3,2,3,1707902003,17079202003,Eixample,140.0,11.92,C
,,Sant Narcís,2.809952,1600,2026,3.0,True,41.97382,5.0,60,3.0,6,3,6,1707903006,17079203006,Eixample,86.0,0.32,A
,,Barri Vell,2.824916,2100,2026,2.0,True,41.984325,2.0,107,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Carme-Vistalegre,CL Carme,2.824881,900,2026,2.0,True,41.975497,6.0,69,1.0,3,1,3,1707901003,17079201003,Centre,125.0,74.7,G
,,Barri Vell,2.824916,2100,2026,2.0,True,41.984325,1.0,107,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Eixample,Calle Barcelona,2.812528,1800,2026,4.0,True,41.965464,1.0,150,2.0,22,2,22,1707902022,17079202022,Eixample,77.0,29.07,E
,Migdia Casernes,Calle de Santiago,2.81615,1700,2026,2.0,,41.968709,,71,2.0,11,2,11,1707902011,17079202011,Eixample,90.0,25.63,D
,,Barri Vell,2.824916,1500,2026,1.0,True,41.984325,4.0,52,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Eixample,Calle Bisbe Lorenzana,2.820586,3000,2026,2.0,True,41.978459,1.0,87,2.0,4,2,4,1707902004,17079202004,Eixample,65.0,47.64,F
,,Barri Vell,2.824916,1800,2026,2.0,False,41.984325,1.0,71,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,,Eixample,2.818438,1800,2026,3.0,True,41.98007,1.0,101,2.0,3,2,3,1707902003,17079202003,Eixample,140.0,11.92,C
,Barri Vell,Calle dels Ciutadans,2.825231,1600,2026,4.0,True,41.983855,2.0,123,1.0,1,1,1,1707901001,17079201001,Centre,62.0,73.03,G
,Eixample,Plaza Poeta Marquina,2.817983,1350,2026,3.0,True,41.980574,5.0,110,2.0,2,2,2,1707902002,17079202002,Eixample,72.0,82.81,G
,Talaia - Germans Sabat,Calle Andalusia,2.808535,1500,2026,2.0,False,41.994252,1.0,70,6.0,2,6,2,1707906002,17079206002,Oest,62.0,4.71,B
,Talaia - Germans Sabat,Calle Andalusia,2.808535,1500,2026,2.0,False,41.994252,1.0,70,6.0,2,6,2,1707906002,17079206002,Oest,62.0,4.71,B
,Montilivi-Pericot,Avenida de Lluís Pericot,2.823917,1154,2026,4.0,,41.969446,,118,2.0,10,2,10,1707902010,17079202010,Eixample,58.0,56.65,E
,Montjuïc,Calle de Pedret,2.825809,1500,2026,2.0,,41.99131,,45,5.0,2,5,2,1707905002,17079205002,Nord,59.0,49.21,E
,,Barri Vell,2.824916,2200,2026,3.0,True,41.984325,2.0,94,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Sant Narcís,Calle Mare de Déu del Remei,2.811933,1100,2026,3.0,True,41.976997,2.0,87,3.0,16,3,16,1707903016,17079203016,Eixample,57.0,50.39,E
,Sant Narcís,Plaza d'Europa,2.81439,1650,2026,4.0,True,41.975657,2.0,105,3.0,7,3,7,1707903007,17079203007,Eixample,6072.0,50.4,C
,,Barri Vell,2.824916,2500,2026,4.0,False,41.984325,1.0,124,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Barri Vell,Plaza del Vi,2.824542,1400,2026,2.0,False,41.983021,4.0,100,1.0,1,1,1,1707901001,17079201001,Centre,62.0,73.03,G
,,Eixample,2.818438,3000,2026,2.0,True,41.98007,5.0,97,2.0,3,2,3,1707902003,17079202003,Eixample,140.0,11.92,C
,Eixample,Calle Bisbe Lorenzana,2.820586,1550,2026,4.0,False,41.978459,1.0,110,2.0,4,2,4,1707902004,17079202004,Eixample,65.0,47.64,F
,,Montjuïc,2.831818,1500,2026,4.0,True,41.995144,3.0,127,5.0,1,5,1,1707905001,17079205001,Montjuïc,170.0,52.37,E
,,Barri Vell,2.824916,640,2026,2.0,False,41.984325,4.0,60,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Migdia Casernes,Calle Jaume Marquès i Casanovas,2.8226,990,2026,3.0,False,41.970227,1.0,90,2.0,10,2,10,1707902010,17079202010,Eixample,58.0,56.65,E
,Eixample,Calle de Joan Maragall,2.820337,1124,2026,4.0,,41.978387,,107,2.0,4,2,4,1707902004,17079202004,Eixample,65.0,47.64,F
,,Barri Vell,2.824916,950,2026,3.0,True,41.984325,2.0,110,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Sant Narcís,Plaza d'Europa,2.81439,1650,2026,4.0,True,41.975657,4.0,120,3.0,7,3,7,1707903007,17079203007,Eixample,6072.0,50.4,C
,Eixample,Gran Via de Jaume I,2.819809,800,2026,2.0,True,41.982941,1.0,75,3.0,1,3,1,1707903001,17079203001,Centre,77.0,48.51,E
,Barri Vell,Abeuradors,2.824275,800,2026,,True,41.983438,2.0,50,1.0,1,1,1,1707901001,17079201001,Centre,62.0,73.03,G
,,Eixample,2.818438,1800,2026,4.0,True,41.98007,5.0,142,2.0,3,2,3,1707902003,17079202003,Eixample,140.0,11.92,C
,Eixample,Calle de Joan Maragall,2.820337,3300,2026,3.0,,41.978387,,131,2.0,4,2,4,1707902004,17079202004,Eixample,65.0,47.64,F
,Barri Vell,"Calle Nou, 6",2.824952,1350,2026,2.0,True,41.983937,1.0,58,1.0,1,1,1,1707901001,17079201001,Centre,62.0,73.03,G
,,Carme-Vistalegre,2.824881,2700,2026,3.0,True,41.975497,1.0,120,1.0,3,1,3,1707901003,17079201003,Centre,125.0,74.7,G
,,Carme-Vistalegre,2.824881,2700,2026,3.0,True,41.975497,5.0,120,1.0,3,1,3,1707901003,17079201003,Centre,125.0,74.7,G
,,Carme-Vistalegre,2.824881,2400,2026,2.0,True,41.975497,1.0,45,1.0,3,1,3,1707901003,17079201003,Centre,125.0,74.7,G
,Barri Vell,"Calle de Cristòfol Grober, 34",2.820898,550,2026,1.0,True,41.983506,1.0,55,3.0,1,3,1,1707903001,17079203001,Centre,77.0,48.51,E
,Eixample,"Calle de Sant Joan Baptista la Salle, 6",2.82045,1790,2026,2.0,True,41.977527,6.0,104,2.0,4,2,4,1707902004,17079202004,Eixample,65.0,47.64,F
,Devesa,"Calle del Riu Güell, 59",2.813302,1000,2026,2.0,True,41.981401,2.0,89,3.0,20,3,20,1707903020,17079203020,Eixample,161.0,42.88,E
,,Barri Vell,2.824916,1287,2026,2.0,True,41.984325,1.0,80,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Santa Eugenia,"Montseny, 41",2.805483,980,2026,3.0,True,41.975583,4.0,120,3.0,11,3,11,1707903011,17079203011,Santa Eugènia de Ter,63.0,45.58,E
,Eixample,Calle Bisbe Lorenzana,2.820586,1735,2026,1.0,True,41.978459,1.0,73,2.0,4,2,4,1707902004,17079202004,Eixample,65.0,47.64,F
,Migdia Casernes,"Calle de Sant Agustí, 46",2.820963,1100,2026,2.0,True,41.970637,4.0,75,2.0,10,2,10,1707902010,17079202010,Eixample,58.0,56.65,E
,,Eixample,2.818438,1400,2026,3.0,,41.98007,,120,2.0,3,2,3,1707902003,17079202003,Eixample,140.0,11.92,C
,Eixample,Calle Barcelona,2.812528,1250,2026,3.0,True,41.965464,5.0,129,2.0,22,2,22,1707902022,17079202022,Eixample,77.0,29.07,E
,,Barri Vell,2.824916,1500,2026,2.0,,41.984325,,70,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,,Barri Vell,2.824916,1800,2026,2.0,,41.984325,,70,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,,Eixample,2.818438,1500,2026,3.0,True,41.98007,3.0,100,2.0,3,2,3,1707902003,17079202003,Eixample,140.0,11.92,C
,,Barri Vell,2.824916,1150,2026,3.0,True,41.984325,5.0,90,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Eixample,Calle de Sant Joan Baptista la Salle,2.82045,1150,2026,3.0,,41.977527,,65,2.0,4,2,4,1707902004,17079202004,Eixample,65.0,47.64,F
,Eixample,CL Cardenal Margarit,2.821332,1050,2026,3.0,True,41.976658,4.0,59,2.0,6,2,6,1707902006,17079202006,Eixample,121.0,37.44,E
,Barri Vell,"Calle de la Cort Reial, 15",2.824947,1200,2026,3.0,True,41.984754,3.0,75,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Devesa,"Calle Bonastruc de Porta, 16",2.819173,1130,2026,3.0,False,41.984809,1.0,110,3.0,3,3,3,1707903003,17079203003,Eixample,93.0,40.69,E
,,Eixample,2.818438,1500,2026,2.0,True,41.98007,2.0,60,2.0,3,2,3,1707902003,17079202003,Eixample,140.0,11.92,C
,,Barri Vell,2.824916,690,2026,2.0,False,41.984325,1.0,65,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,,Barri Vell,2.824916,1600,2026,3.0,False,41.984325,3.0,62,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Sant Narcís,Calle de Bilbao,2.809759,1290,2026,3.0,True,41.969428,2.0,97,3.0,12,3,12,1707903012,17079203012,Eixample,60.0,40.66,F
,Migdia Casernes,"Calle Narcís Blanch, 39",2.817763,900,2026,1.0,True,41.970037,4.0,70,2.0,21,2,21,1707902021,17079202021,Eixample,85.0,47.33,E
,Barri Vell,"Calle dels Calderers, 12",2.824236,990,2026,2.0,False,41.987702,1.0,80,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Eixample,"Travesía de la Creu, 21",2.821806,1200,2026,2.0,,41.97593,,80,2.0,6,2,6,1707902006,17079202006,Eixample,121.0,37.44,E
,,Carme-Vistalegre,2.824881,1125,2026,3.0,True,41.975497,3.0,128,1.0,3,1,3,1707901003,17079201003,Centre,125.0,74.7,G
,Eixample,"Ronda Pare Maria Claret, 41",2.818438,1200,2026,3.0,True,41.98007,5.0,94,2.0,3,2,3,1707902003,17079202003,Eixample,140.0,11.92,C
2015-0001,Migdia Casernes,"Calle de Santiago, 62",2.81618835212095,1145,2015,2.0,False,41.96831834614794,1.0,62,2.0,11,2,11,1707902011,17079202011,Eixample,50.32,44.87,E
2015-0002,Migdia Casernes,"Calle de Sant Agustí, 42",2.821103252802676,695,2015,2.0,True,41.970975172362095,4.0,67,2.0,10,2,10,1707902010,17079202010,Eixample,49.74,17.8,D
2015-0003,Sant Narcís,"Calle Mare de Déu del Remei, 11",2.812299762401602,755,2015,4.0,True,41.97679272113668,2.0,91,3.0,16,3,16,1707903016,17079203016,Eixample,,,
2015-0004,Devesa,"Calle Bonastruc de Porta, 67",2.8198154942802613,755,2015,3.0,False,41.9849382463009,1.0,104,3.0,3,3,3,1707903003,17079203003,Eixample,,,
2015-0007,,"Eixample, 35",2.818296888203712,1945,2015,3.0,True,41.97997409863509,5.0,105,2.0,2,2,2,1707902002,17079202002,Eixample,78.11,37.79,E
2015-0008,Eixample,"Calle Bisbe Lorenzana, 63",2.8206348259195315,2255,2015,2.0,True,41.97835853449101,1.0,84,2.0,4,2,4,1707902004,17079202004,Eixample,,,
2015-0010,Eixample,"Calle Barcelona, 35",2.8127156771181903,1215,2015,4.0,True,41.96551156190732,1.0,133,2.0,22,2,22,1707902022,17079202022,Eixample,59.32,18.93,D
2015-0013,,"Barri Vell, 13",2.825305768489336,865,2015,2.0,True,41.98421155123378,1.0,67,4.0,1,4,1,1707904001,17079204001,Centre,38.0,43.91,F
2015-0014,Barri Vell,"Calle de les Ballesteries, 21",2.8242998038730422,810,2015,1.0,False,41.986325092441234,2.0,44,4.0,1,4,1,1707904001,17079204001,Centre,38.0,43.91,F
2015-0015,,"Barri Vell, 65",2.824922555643657,1355,2015,3.0,False,41.984394802863406,3.0,58,4.0,1,4,1,1707904001,17079204001,Centre,38.0,43.91,F
2015-0016,Sant Narcís,"Avenida de Sant Narcís, 47",2.814006061317745,1295,2015,5.0,True,41.97880953337377,5.0,105,3.0,15,3,15,1707903015,17079203015,Eixample,84.0,33.98,E
2015-0018,Barri Vell,"Calle dels Calderers, 48",2.8239391385639903,535,2015,2.0,False,41.98782632282998,0.0,70,4.0,1,4,1,1707904001,17079204001,Centre,38.0,43.91,F
2015-0019,Eixample,"Travesía de la Creu, 39",2.8221257940692364,855,2015,2.0,True,41.97588776273408,1.0,83,2.0,6,2,6,1707902006,17079202006,Eixample,,,
2015-0020,Barri Vell,"Calle dels Ciutadans, 44",2.825761378974074,1140,2015,3.0,True,41.98393920603009,2.0,108,1.0,1,1,1,1707901001,17079201001,Centre,150.0,41.72,E
2015-0021,,"Eixample, 26",2.818191583996233,1160,2015,3.0,True,41.98070854091973,2.0,94,2.0,2,2,2,1707902002,17079202002,Eixample,78.11,37.79,E
2015-0022,Migdia Casernes,"Calle Jaume Marquès i Casanovas, 78",2.8227338216604445,655,2015,3.0,False,41.970030563691374,1.0,100,2.0,10,2,10,1707902010,17079202010,Eixample,49.74,17.8,D
2015-0023,Barri Vell,"Avenida de Sant Francesc, 26",2.821331408502167,1195,2015,2.0,True,41.98246999748408,1.0,68,3.0,1,3,1,1707903001,17079203001,Centre,,,
2015-0024,Sant Narcís,"Avenida de Sant Narcís, 38",2.8139539703311667,935,2015,4.0,False,41.9790197267976,5.0,111,3.0,15,3,15,1707903015,17079203015,Eixample,84.0,33.98,E
2015-0025,Eixample,"Travesía de la Creu, 26",2.821473886295387,755,2015,1.0,True,41.97636843328767,2.0,67,2.0,6,2,6,1707902006,17079202006,Eixample,,,
2015-0026,Eixample,"Gran Via de Jaume I, 80",2.81983617547207,605,2015,2.0,False,41.98336324455839,2.0,71,3.0,1,3,1,1707903001,17079203001,Centre,,,
2015-0027,,"Montjuïc, 78",2.832092770762707,1670,2015,4.0,True,41.9950437629678,1.0,302,5.0,1,5,1,1707905001,17079205001,Montjuïc,,,
2015-0028,Carme-Vistalegre,"Calle Doctor Pascual i Prats, 10",2.8247704346311013,615,2015,1.0,False,41.97722182734759,1.0,50,1.0,3,1,3,1707901003,17079201003,Centre,64.0,48.77,G
2015-0029,,"Eixample, 75",2.8184651469344884,2445,2015,3.0,True,41.979744683578325,3.0,129,2.0,3,2,3,1707902003,17079202003,Eixample,83.85,42.82,G
2015-0032,Montilivi-Pericot,"Avenida de Lluís Pericot, 10",2.824468074058496,1145,2015,4.0,True,41.96911696432646,1.0,93,2.0,18,2,18,1707902018,17079202018,Sud,89.6,41.2,E
2015-0033,Barri Vell,"Calle de les Ballesteries, 71",2.8251232012728185,750,2015,1.0,False,41.98565841664622,3.0,83,4.0,1,4,1,1707904001,17079204001,Centre,38.0,43.91,F
2015-0034,Talaia - Germans Sabat,"Calle Andalusia, 13",2.808676461556764,1185,2015,1.0,False,41.994085401834354,2.0,69,6.0,2,6,2,1707906002,17079206002,Oest,,,
2015-0035,Barri Vell,"Pujada de Sant Martí, 5",2.826156948278502,520,2015,2.0,False,41.98407153258994,3.0,55,1.0,1,1,1,1707901001,17079201001,Centre,150.0,41.72,E
2015-0036,Eixample,"CL Cardenal Margarit, 19",2.820998276558405,850,2015,3.0,True,41.97673634731508,3.0,70,2.0,6,2,6,1707902006,17079202006,Eixample,,,
2015-0038,,"Carme-Vistalegre, 51",2.8241110024677205,1835,2015,3.0,True,41.97593844759189,5.0,116,1.0,3,1,3,1707901003,17079201003,Centre,64.0,48.77,G
2015-0039,Sant Narcís,"Calle de Bilbao, 55",2.809298841578525,1000,2015,3.0,True,41.96994620506425,2.0,100,3.0,12,3,12,1707903012,17079203012,Eixample,53.73,33.96,E
2015-0040,Devesa,"Ronda Ferran Puig, 59",2.817549693481623,1090,2015,3.0,True,41.98528479657259,3.0,107,3.0,4,3,4,1707903004,17079203004,Eixample,,,
2015-0041,Carme-Vistalegre,"Calle Doctor Pascual i Prats, 37",2.82439977285301,590,2015,1.0,False,41.97694096374475,1.0,60,1.0,3,1,3,1707901003,17079201003,Centre,64.0,48.77,G
2015-0042,Barri Vell,"Calle Auriga, 43",2.82534826069662,1305,2015,2.0,False,41.98266137412804,3.0,57,1.0,1,1,1,1707901001,17079201001,Centre,150.0,41.72,E
2015-0043,Barri Vell,"Plaza Sant Pere, 47",2.825434260143269,815,2015,1.0,False,41.99014436852998,1.0,61,5.0,2,5,2,1707905002,17079205002,Nord,,,
2015-0046,,"Barri Vell, 38",2.8252365414667966,1080,2015,2.0,True,41.98456912910699,1.0,57,4.0,1,4,1,1707904001,17079204001,Centre,38.0,43.91,F
2015-0047,Barri Vell,"Calle de les Ferreries Velles, 53",2.825157018159306,985,2015,3.0,True,41.98398224324027,1.0,92,1.0,1,1,1,1707901001,17079201001,Centre,150.0,41.72,E
2015-0049,Barri Vell,"Calle de les Ballesteries, 36",2.8247564514933403,605,2015,1.0,False,41.9867712959301,1.0,58,4.0,1,4,1,1707904001,17079204001,Centre,38.0,43.91,F
2015-0050,,"Barri Vell, 39",2.824435616618864,1145,2015,3.0,True,41.98394950583577,1.0,91,1.0,1,1,1,1707901001,17079201001,Centre,150.0,41.72,E
2015-0051,Barri Vell,"Calle de Cristòfol Grober, 1",2.820756467189909,405,2015,1.0,True,41.98352230607561,0.0,58,3.0,1,3,1,1707903001,17079203001,Centre,,,
2015-0052,,"Barri Vell, 4",2.8248621165758507,1290,2015,1.0,False,41.98411359802114,1.0,71,4.0,1,4,1,1707904001,17079204001,Centre,38.0,43.91,F
2015-0053,Eixample,"Calle Migdia, 65",2.820138081888684,1080,2015,3.0,False,41.97681585571261,0.0,91,2.0,13,2,13,1707902013,17079202013,Eixample,,,
2015-0054,,"Montjuïc, 78",2.832144765249013,2300,2015,3.0,True,41.99520333702458,1.0,219,5.0,1,5,1,1707905001,17079205001,Montjuïc,,,
2015-0055,Eixample,"Gran Via de Jaume I, 36",2.819557780532852,520,2015,1.0,True,41.98296863799753,1.0,68,3.0,3,3,3,1707903003,17079203003,Eixample,,,
2015-0056,Montjuïc,"Calle de Pedret, 66",2.825926848240478,925,2015,2.0,True,41.99089534554538,1.0,40,5.0,2,5,2,1707905002,17079205002,Nord,,,
2015-0059,Eixample,"CL Cardenal Margarit, 37",2.8214366327682137,930,2015,3.0,True,41.97661865874094,4.0,67,2.0,6,2,6,1707902006,17079202006,Eixample,,,
2015-0061,Barri Vell,"Calle de les Ferreries Velles, 10",2.824954042524005,1105,2015,3.0,True,41.98389039741452,1.0,80,1.0,1,1,1,1707901001,17079201001,Centre,150.0,41.72,E
2015-0062,Talaia - Germans Sabat,"Calle Andalusia, 12",2.8087207513350925,1010,2015,2.0,False,41.99430759769483,1.0,62,6.0,2,6,2,1707906002,17079206002,Oest,,,
2015-0063,Devesa,"Calle del Riu Güell, 19",2.8197819643519817,1910,2015,2.0,True,41.98585792392279,3.0,214,3.0,3,3,3,1707903003,17079203003,Eixample,,,
2015-0064,Devesa,"Calle del Riu Güell, 11",2.8135016755708944,795,2015,2.0,True,41.98114553884324,2.0,88,3.0,20,3,20,1707903020,17079203020,Eixample,,,
2015-0065,Barri Vell,"Plaza Sant Pere, 74",2.8246935781747355,855,2015,2.0,False,41.98997166413764,1.0,78,5.0,2,5,2,1707905002,17079205002,Nord,,,
2015-0066,Sant Narcís,"Plaza d'Europa, 35",2.8135006413486474,1080,2015,4.0,True,41.97520624896318,5.0,98,3.0,7,3,7,1707903007,17079203007,Eixample,,,
2015-0067,Sant Narcís,"Plaza europa, 7",2.809981843241905,1145,2015,4.0,True,41.97373080299119,4.0,116,3.0,6,3,6,1707903006,17079203006,Eixample,,,
2015-0070,Montjuïc,"Calle de Pedret, 36",2.8256473686047148,1205,2015,1.0,True,41.9915012412708,2.0,43,5.0,2,5,2,1707905002,17079205002,Nord,,,
2015-0071,,"Eixample, 58",2.8183619867293155,2335,2015,3.0,True,41.98001623201236,3.0,119,2.0,2,2,2,1707902002,17079202002,Eixample,78.11,37.79,E
2015-0073,Montilivi-Pericot,"Avenida de Lluís Pericot, 56",2.8236503608060306,800,2015,4.0,True,41.96907265846372,1.0,117,2.0,10,2,10,1707902010,17079202010,Eixample,49.74,17.8,D
2015-0075,,"Barri Vell, 28",2.8244795532544225,780,2015,3.0,True,41.98438195301785,2.0,112,1.0,1,1,1,1707901001,17079201001,Centre,150.0,41.72,E
2015-0076,,"Eixample, 23",2.8183498663239543,860,2015,3.0,True,41.97972309570192,1.0,138,2.0,3,2,3,1707902003,17079202003,Eixample,83.85,42.82,G
2015-0079,Barri Vell,"Calle de Cristòfol Grober, 71",2.820709723739069,355,2015,1.0,True,41.98388833416508,1.0,57,3.0,1,3,1,1707903001,17079203001,Centre,,,
2015-0080,Eixample,"Calle Bisbe Lorenzana, 79",2.8206565828334766,915,2015,4.0,True,41.978148707584495,0.0,117,2.0,4,2,4,1707902004,17079202004,Eixample,,,
2015-0081,Barri Vell,"Abeuradors, 30",2.8240908069595823,665,2015,2.0,True,41.983510493356505,2.0,53,1.0,1,1,1,1707901001,17079201001,Centre,150.0,41.72,E
